loan_id,loan_date,borrower_segment,requested_amount,duration_months,declared_monthly_income,upi_30d_inflow,upi_90d_inflow,upi_transaction_count,upi_stability_score,utility_on_time_ratio,utility_missed_payment_count,telecom_recharge_regularity,gst_turnover,gst_filing_regularity,ecommerce_settlement_amount,ecommerce_settlement_stability,mobility_usage_consistency,income_volatility,repayment_outcome_known,repayment_default_target,data_provenance
9000026,1996-03-21,gig_worker,32163.0,18,15515.37,5470.08,16410.23,276,0.6651,0.8606,1,0.914,0.0,0.4727,0.0,0.1527,0.8789,0.4437,True,0,SYNTHETIC_SHOWCASE_ONLY
9000027,1995-01-05,first_time_borrower,146798.57,24,38566.98,8511.21,25533.62,277,0.6767,0.9482,0,0.7532,0.0,0.2437,0.0,0.2181,0.8238,0.3178,True,0,SYNTHETIC_SHOWCASE_ONLY
9000028,1997-02-11,first_time_borrower,122089.2,9,25478.19,10590.53,31771.58,131,0.7979,0.719,3,0.6413,0.0,0.2914,0.0,0.4926,0.8015,0.2802,True,1,SYNTHETIC_SHOWCASE_ONLY
9000029,1995-09-23,first_time_borrower,72727.97,36,28712.72,7048.34,21145.03,158,0.3732,0.629,1,0.8532,0.0,0.2653,0.0,0.2727,0.4028,0.6415,True,1,SYNTHETIC_SHOWCASE_ONLY
9000030,1995-03-21,informal_worker,37601.39,36,36568.94,14013.33,42040.0,136,0.5084,0.9203,0,0.8786,0.0,0.1417,0.0,0.146,0.7872,0.5553,True,0,SYNTHETIC_SHOWCASE_ONLY
9000031,1995-04-03,informal_worker,40558.72,18,11480.6,2861.05,8583.15,218,0.6345,0.7475,1,0.8039,0.0,0.1817,0.0,0.1835,0.6766,0.3302,True,1,SYNTHETIC_SHOWCASE_ONLY
9000032,1994-02-19,informal_worker,33332.45,12,51927.69,15989.43,47968.28,199,0.526,0.6117,1,0.6707,0.0,0.3147,0.0,0.282,0.8259,0.5893,True,1,SYNTHETIC_SHOWCASE_ONLY
9000033,1993-06-18,informal_worker,96208.29,9,23680.2,8376.24,25128.71,29,0.6014,0.9782,0,0.5073,0.0,0.2077,0.0,0.2971,0.8094,0.422,True,1,SYNTHETIC_SHOWCASE_ONLY
9000034,1995-10-10,gig_worker,105308.83,36,36152.9,9603.13,28809.39,178,0.6714,0.7307,3,0.9543,0.0,0.4823,0.0,0.3646,0.5939,0.2511,True,0,SYNTHETIC_SHOWCASE_ONLY
9000035,1997-06-10,first_time_borrower,103907.32,24,37718.35,12930.81,38792.42,205,0.9054,0.8879,0,0.8401,0.0,0.0802,0.0,0.3542,0.6222,0.1119,True,0,SYNTHETIC_SHOWCASE_ONLY
9000036,1993-04-27,informal_worker,167901.29,24,54064.99,19893.12,59679.35,270,0.8552,0.6417,0,0.4055,0.0,0.197,0.0,0.1777,0.4888,0.0,True,0,SYNTHETIC_SHOWCASE_ONLY
9000037,1997-04-17,informal_worker,76473.97,36,26625.59,9324.14,27972.43,162,0.7682,0.9676,0,0.9131,0.0,0.1541,0.0,0.3197,0.5657,0.2429,True,0,SYNTHETIC_SHOWCASE_ONLY
9000038,1997-02-20,small_merchant,20455.27,18,10103.26,3682.57,11047.71,98,0.8083,0.9361,1,0.9416,23445.73,0.7604,6319.61,0.8778,0.4554,0.2106,True,0,SYNTHETIC_SHOWCASE_ONLY
9000039,1994-05-21,gig_worker,52913.13,24,28778.42,5649.48,16948.44,65,0.7687,0.614,2,0.6411,0.0,0.3842,0.0,0.2828,0.9284,0.2404,True,0,SYNTHETIC_SHOWCASE_ONLY
9000040,1996-02-28,small_merchant,74838.09,9,30831.71,10454.93,31364.8,45,0.8376,0.9302,0,0.9664,117847.39,0.7671,5654.02,0.3763,0.8733,0.2882,True,1,SYNTHETIC_SHOWCASE_ONLY
9000041,1993-10-29,small_merchant,77335.86,12,17043.34,3636.59,10909.77,21,0.3756,0.717,1,0.5029,70653.3,0.6973,15776.79,0.6833,0.7697,0.6077,True,1,SYNTHETIC_SHOWCASE_ONLY
9000042,1996-10-16,small_merchant,35933.62,18,30054.13,5617.71,16853.14,120,0.4676,0.7694,0,0.7856,97863.84,0.8122,40116.38,0.8465,0.6984,0.5531,True,1,SYNTHETIC_SHOWCASE_ONLY
9000043,1996-07-03,small_merchant,47772.07,12,23545.05,9745.24,29235.71,41,0.92,0.8545,0,0.7877,38819.62,0.9088,2147.37,0.6537,0.8566,0.2175,True,0,SYNTHETIC_SHOWCASE_ONLY
9000044,1994-10-10,gig_worker,21254.49,12,14697.58,3804.61,11413.84,56,0.8101,0.8106,0,0.4952,0.0,0.184,0.0,0.2143,0.7227,0.2736,True,0,SYNTHETIC_SHOWCASE_ONLY
9000045,1993-05-05,small_merchant,95826.09,24,38648.86,8734.71,26204.12,79,0.7496,0.7741,2,0.8941,120816.86,0.8186,38433.13,0.8384,0.5183,0.3137,True,1,SYNTHETIC_SHOWCASE_ONLY
9000046,1997-11-08,small_merchant,25365.16,6,21362.06,6693.33,20079.99,185,0.623,0.9621,0,0.5548,63844.89,0.897,7282.56,0.7968,0.5558,0.3335,True,0,SYNTHETIC_SHOWCASE_ONLY
9000047,1995-03-25,first_time_borrower,90942.29,24,23037.94,7500.72,22502.15,232,0.8344,0.5358,3,0.653,0.0,0.5598,0.0,0.1561,0.5574,0.292,True,1,SYNTHETIC_SHOWCASE_ONLY
9000048,1997-06-19,gig_worker,23663.9,9,22424.78,7575.84,22727.53,73,0.6922,0.8806,0,0.6377,0.0,0.1337,0.0,0.3263,0.7552,0.2798,True,0,SYNTHETIC_SHOWCASE_ONLY
9000049,1996-05-22,small_merchant,178703.02,24,50664.94,12908.88,38726.63,148,0.8355,0.9586,0,0.9643,94164.41,0.7268,18129.87,0.677,0.8615,0.2491,True,0,SYNTHETIC_SHOWCASE_ONLY
9000050,1996-11-22,gig_worker,48813.75,12,27455.45,8862.68,26588.04,121,0.5647,0.9719,0,0.8152,0.0,0.335,0.0,0.0352,0.8216,0.4919,True,0,SYNTHETIC_SHOWCASE_ONLY
9000051,1996-10-19,small_merchant,77875.14,24,29083.54,10597.77,31793.31,252,0.7584,0.8642,0,0.9593,41346.79,0.9187,6656.79,0.6773,0.6679,0.3119,True,0,SYNTHETIC_SHOWCASE_ONLY
9000052,1993-12-22,small_merchant,33538.88,18,22662.22,4768.11,14304.32,204,0.7754,0.7838,0,0.8815,93154.46,0.8307,24712.53,0.597,0.8557,0.2936,True,0,SYNTHETIC_SHOWCASE_ONLY
9000053,1994-10-27,informal_worker,133325.4,12,34966.15,10498.84,31496.53,111,0.3354,0.9208,1,0.7121,0.0,0.2633,0.0,0.2321,0.9531,0.6804,True,1,SYNTHETIC_SHOWCASE_ONLY
9000054,1995-05-03,first_time_borrower,255374.09,12,53510.46,18069.17,54207.52,38,0.8038,0.7752,0,0.7329,0.0,0.4135,0.0,0.1438,0.6136,0.2667,True,1,SYNTHETIC_SHOWCASE_ONLY
9000055,1995-06-28,gig_worker,60211.55,6,38213.07,10977.73,32933.18,68,0.3115,0.8648,0,0.9112,0.0,0.6974,0.0,0.0974,0.971,0.6841,True,0,SYNTHETIC_SHOWCASE_ONLY
9000056,1993-03-21,informal_worker,186650.81,12,38935.27,14863.05,44589.15,273,0.9329,0.68,0,0.8641,0.0,0.1125,0.0,0.6113,0.9199,0.0907,True,0,SYNTHETIC_SHOWCASE_ONLY
9000057,1995-09-26,gig_worker,76082.94,12,37457.05,13006.15,39018.44,71,0.7155,0.9407,0,0.755,0.0,0.493,0.0,0.4178,0.4392,0.2426,True,0,SYNTHETIC_SHOWCASE_ONLY
9000058,1993-10-09,gig_worker,44093.53,9,14435.47,3110.19,9330.57,273,0.7657,0.772,0,0.9173,0.0,0.0939,0.0,0.178,0.3553,0.2379,True,0,SYNTHETIC_SHOWCASE_ONLY
9000059,1996-09-19,small_merchant,67794.39,24,18387.43,3879.54,11638.62,152,0.7285,0.6884,3,0.9634,68253.73,0.963,16416.52,0.6726,0.7144,0.2039,True,1,SYNTHETIC_SHOWCASE_ONLY
9000060,1996-06-01,gig_worker,37475.07,12,25376.17,7835.77,23507.32,97,0.7613,0.8513,0,0.649,0.0,0.1588,0.0,0.218,0.7077,0.2463,True,0,SYNTHETIC_SHOWCASE_ONLY
9000061,1997-08-12,informal_worker,50532.13,12,19762.57,4421.1,13263.29,68,0.8271,0.8853,0,0.9395,0.0,0.0844,0.0,0.4961,0.5023,0.1839,True,0,SYNTHETIC_SHOWCASE_ONLY
9000062,1996-09-21,informal_worker,15091.51,12,16797.44,4497.73,13493.19,43,0.5901,0.884,3,0.7331,0.0,0.3099,0.0,0.0462,0.8427,0.3924,True,1,SYNTHETIC_SHOWCASE_ONLY
9000063,1994-11-01,informal_worker,41801.99,12,11399.39,3292.09,9876.26,87,0.5294,0.7986,1,0.6934,0.0,0.5603,0.0,0.4541,0.3498,0.3733,True,1,SYNTHETIC_SHOWCASE_ONLY
9000064,1997-11-02,small_merchant,35696.09,18,14670.97,4354.72,13064.16,93,0.8559,0.9091,0,0.8823,48458.4,0.8278,1869.81,0.432,0.4312,0.1439,True,0,SYNTHETIC_SHOWCASE_ONLY
9000065,1995-01-21,informal_worker,111977.72,18,24756.11,5773.16,17319.47,162,0.7353,0.522,1,0.7555,0.0,0.0814,0.0,0.527,0.6408,0.2278,True,1,SYNTHETIC_SHOWCASE_ONLY
9000066,1994-08-18,small_merchant,48898.81,18,27082.29,5327.51,15982.52,183,0.5538,0.916,1,0.8872,37247.07,0.6334,2906.72,0.6627,0.7095,0.4751,True,0,SYNTHETIC_SHOWCASE_ONLY
9000067,1997-07-12,gig_worker,89244.44,18,19135.37,5822.36,17467.07,78,0.8393,0.7227,2,0.7386,0.0,0.3492,0.0,0.3514,0.7701,0.1794,True,1,SYNTHETIC_SHOWCASE_ONLY
9000068,1994-11-08,gig_worker,35495.68,12,29081.1,7927.57,23782.71,48,0.4451,0.8107,3,0.8009,0.0,0.1999,0.0,0.6346,0.5429,0.5223,True,1,SYNTHETIC_SHOWCASE_ONLY
9000069,1993-05-20,informal_worker,74362.65,12,22736.34,7109.94,21329.82,277,0.5045,0.6192,0,0.7503,0.0,0.2288,0.0,0.0827,0.3198,0.4474,True,1,SYNTHETIC_SHOWCASE_ONLY
9000070,1995-05-08,first_time_borrower,92364.3,24,47260.74,12124.01,36372.04,83,0.8417,0.8946,2,0.8233,0.0,0.1855,0.0,0.4195,0.7543,0.0527,True,0,SYNTHETIC_SHOWCASE_ONLY
9000071,1996-12-23,gig_worker,36269.65,12,25909.87,8544.99,25634.96,80,0.6764,0.8077,1,0.7236,0.0,0.3239,0.0,0.5425,0.7152,0.3901,True,0,SYNTHETIC_SHOWCASE_ONLY
9000072,1993-12-12,small_merchant,39633.67,24,39112.55,14294.82,42884.46,35,0.8526,0.7403,1,0.9725,171326.39,0.8341,50702.61,0.8889,0.5098,0.1538,True,0,SYNTHETIC_SHOWCASE_ONLY
9000073,1995-04-26,informal_worker,107572.56,18,30868.84,7419.09,22257.26,216,0.2801,0.7983,0,0.8246,0.0,0.3935,0.0,0.1398,0.6216,0.7528,True,1,SYNTHETIC_SHOWCASE_ONLY
9000074,1993-08-26,first_time_borrower,23226.55,18,14285.01,5407.35,16222.06,229,0.8641,0.8475,0,0.8467,0.0,0.3204,0.0,0.2848,0.8046,0.089,True,0,SYNTHETIC_SHOWCASE_ONLY
9000075,1996-06-07,small_merchant,83650.25,18,26807.68,9540.55,28621.65,158,0.7657,0.8449,1,0.7107,45333.68,0.6527,39438.42,0.3805,0.5536,0.2978,True,1,SYNTHETIC_SHOWCASE_ONLY
9000076,1995-05-19,informal_worker,75964.44,36,15473.13,3525.32,10575.96,165,0.8175,0.5604,2,0.786,0.0,0.2196,0.0,0.3769,0.6781,0.1158,True,0,SYNTHETIC_SHOWCASE_ONLY
9000077,1994-08-26,informal_worker,52908.17,12,26583.92,9104.54,27313.62,231,0.8757,0.6618,1,0.9825,0.0,0.428,0.0,0.1656,0.4786,0.0516,True,0,SYNTHETIC_SHOWCASE_ONLY
9000078,1994-02-19,first_time_borrower,14759.01,12,19580.65,3800.01,11400.04,278,0.628,0.9235,0,0.8103,0.0,0.5269,0.0,0.0151,0.7569,0.3297,True,0,SYNTHETIC_SHOWCASE_ONLY
9000079,1995-10-28,gig_worker,41317.05,24,33634.31,9048.85,27146.56,193,0.4805,0.9691,0,0.871,0.0,0.4974,0.0,0.0734,0.7679,0.4609,True,0,SYNTHETIC_SHOWCASE_ONLY
9000080,1996-05-08,first_time_borrower,16538.19,18,14700.4,4537.94,13613.82,101,0.7356,0.947,0,0.9328,0.0,0.126,0.0,0.2324,0.6842,0.1942,True,0,SYNTHETIC_SHOWCASE_ONLY
9000081,1997-09-13,gig_worker,74399.71,12,28198.29,11255.35,33766.04,44,0.6644,0.7142,2,0.8075,0.0,0.2279,0.0,0.3787,0.6932,0.2489,True,1,SYNTHETIC_SHOWCASE_ONLY
9000082,1995-03-10,first_time_borrower,142863.12,12,36853.99,8119.32,24357.95,36,0.872,0.8981,1,0.4063,0.0,0.1018,0.0,0.4185,0.6622,0.0,True,0,SYNTHETIC_SHOWCASE_ONLY
9000083,1993-10-21,gig_worker,82433.66,12,43286.91,9093.87,27281.6,117,0.7251,0.8098,1,0.5013,0.0,0.4548,0.0,0.2561,0.6692,0.3108,True,0,SYNTHETIC_SHOWCASE_ONLY
9000084,1997-03-01,gig_worker,24092.29,24,19402.54,6599.96,19799.87,125,0.5916,0.9413,0,0.7286,0.0,0.2295,0.0,0.0803,0.8105,0.3714,True,0,SYNTHETIC_SHOWCASE_ONLY
9000085,1996-02-24,gig_worker,96561.72,12,28239.59,9451.21,28353.63,221,0.9582,0.7538,0,0.9758,0.0,0.1431,0.0,0.2301,0.7742,0.0202,True,1,SYNTHETIC_SHOWCASE_ONLY
9000086,1996-07-02,small_merchant,58887.05,6,30587.61,7682.93,23048.78,136,0.4361,0.7004,1,0.6934,66193.36,0.879,25071.59,0.7507,0.5095,0.7141,True,1,SYNTHETIC_SHOWCASE_ONLY
9000087,1993-06-27,small_merchant,184213.9,6,58840.19,24028.66,72085.99,122,0.5676,0.8544,1,0.6721,165431.04,0.8056,85286.28,0.202,0.9199,0.531,True,1,SYNTHETIC_SHOWCASE_ONLY
9000088,1994-07-25,gig_worker,64752.33,36,13751.75,3502.29,10506.88,277,0.8384,0.8771,2,0.6536,0.0,0.2576,0.0,0.0899,0.5967,0.1531,True,1,SYNTHETIC_SHOWCASE_ONLY
9000089,1996-11-03,small_merchant,34027.58,18,18081.25,7256.83,21770.49,44,0.8631,0.9832,0,0.8114,41747.12,0.942,17744.92,0.6721,0.2829,0.2025,True,0,SYNTHETIC_SHOWCASE_ONLY
9000090,1997-02-28,small_merchant,300000.0,18,107592.02,36438.39,109315.18,167,0.8011,0.902,0,0.938,302711.94,0.7575,72514.24,0.46,0.4765,0.174,True,0,SYNTHETIC_SHOWCASE_ONLY
9000091,1995-03-06,informal_worker,101923.19,36,24559.97,5009.66,15028.97,204,0.6957,0.7801,0,0.5979,0.0,0.2612,0.0,0.2575,0.5931,0.3285,True,0,SYNTHETIC_SHOWCASE_ONLY
9000092,1997-01-09,first_time_borrower,41160.89,12,11296.89,4389.16,13167.49,30,0.6974,0.7781,0,0.8551,0.0,0.2015,0.0,0.2927,0.5153,0.2035,True,0,SYNTHETIC_SHOWCASE_ONLY
9000093,1997-03-17,informal_worker,82700.3,24,21169.9,6211.14,18633.41,256,0.7554,0.9014,1,0.8326,0.0,0.4644,0.0,0.1913,0.8413,0.1815,True,0,SYNTHETIC_SHOWCASE_ONLY
9000094,1994-12-09,gig_worker,29644.19,24,7412.33,2340.88,7022.63,212,0.837,0.888,0,0.8887,0.0,0.2803,0.0,0.2459,0.6784,0.094,True,0,SYNTHETIC_SHOWCASE_ONLY
9000095,1997-06-28,gig_worker,93531.89,12,31432.63,10887.61,32662.83,47,0.9469,0.837,2,0.5549,0.0,0.0838,0.0,0.0628,0.591,0.0513,True,0,SYNTHETIC_SHOWCASE_ONLY
9000096,1994-06-11,first_time_borrower,122197.93,24,41301.6,9678.72,29036.17,130,0.7703,0.7401,0,0.8249,0.0,0.602,0.0,0.3029,0.7087,0.3667,True,0,SYNTHETIC_SHOWCASE_ONLY
9000097,1994-03-14,gig_worker,68023.51,36,18076.39,6055.33,18165.99,42,0.5255,0.7396,1,0.6788,0.0,0.2482,0.0,0.265,0.7375,0.4974,True,1,SYNTHETIC_SHOWCASE_ONLY
9000098,1996-05-31,small_merchant,81970.05,12,22337.28,7339.58,22018.75,207,0.8068,0.873,1,0.8262,44687.29,0.7256,10898.91,0.5154,0.9122,0.0829,True,0,SYNTHETIC_SHOWCASE_ONLY
9000099,1996-03-08,first_time_borrower,154781.44,6,43621.86,15179.05,45537.15,111,0.6311,0.8814,0,0.5554,0.0,0.3405,0.0,0.2048,0.6343,0.3727,True,1,SYNTHETIC_SHOWCASE_ONLY
9000100,1993-09-13,first_time_borrower,27574.38,24,12086.64,2986.73,8960.18,266,0.5458,0.9213,0,0.5641,0.0,0.183,0.0,0.115,0.7653,0.5031,True,1,SYNTHETIC_SHOWCASE_ONLY
9000101,1997-03-01,small_merchant,63037.55,12,14847.78,5458.45,16375.35,218,0.944,0.7686,0,0.6936,38208.71,0.8834,14313.93,0.8905,0.6959,0.0,True,0,SYNTHETIC_SHOWCASE_ONLY
9000102,1994-01-01,informal_worker,41139.72,18,25096.02,10421.74,31265.23,252,0.9358,0.8285,2,0.888,0.0,0.2851,0.0,0.4463,0.6405,0.0446,True,0,SYNTHETIC_SHOWCASE_ONLY
9000103,1997-01-09,small_merchant,25078.58,12,19513.06,8106.05,24318.16,83,0.5688,0.9275,0,0.6007,75271.54,0.8877,6879.09,0.5763,0.665,0.4578,True,1,SYNTHETIC_SHOWCASE_ONLY
9000104,1993-01-14,informal_worker,51519.36,24,24316.34,5651.0,16952.99,206,0.8461,0.9959,0,0.5478,0.0,0.3882,0.0,0.272,0.7514,0.3024,True,0,SYNTHETIC_SHOWCASE_ONLY
9000105,1996-12-26,gig_worker,26208.92,24,15265.64,5766.35,17299.06,58,0.6232,0.7962,0,0.7582,0.0,0.2409,0.0,0.0501,0.521,0.4016,True,1,SYNTHETIC_SHOWCASE_ONLY
9000106,1996-12-07,gig_worker,109176.79,36,31033.74,9560.27,28680.81,276,0.7532,0.8996,0,0.7616,0.0,0.4945,0.0,0.1845,0.6255,0.2221,True,1,SYNTHETIC_SHOWCASE_ONLY
9000107,1996-11-25,informal_worker,42132.64,12,26064.46,9889.15,29667.44,22,0.6821,0.6949,0,0.5713,0.0,0.3599,0.0,0.5838,0.5146,0.3463,True,1,SYNTHETIC_SHOWCASE_ONLY
9000108,1996-04-29,gig_worker,127141.88,36,36445.43,11726.61,35179.83,197,0.7993,0.801,0,0.8617,0.0,0.3325,0.0,0.3994,0.6712,0.3253,True,0,SYNTHETIC_SHOWCASE_ONLY
9000109,1995-05-12,informal_worker,88109.59,18,30827.16,8762.72,26288.16,203,0.7001,0.8304,1,0.6007,0.0,0.1101,0.0,0.158,0.8717,0.3287,True,1,SYNTHETIC_SHOWCASE_ONLY
9000110,1996-07-11,small_merchant,39293.02,18,30920.39,9589.85,28769.56,146,0.7221,0.6828,1,0.5282,93270.27,0.806,34690.71,0.5762,0.4418,0.2952,True,0,SYNTHETIC_SHOWCASE_ONLY
9000111,1994-05-22,first_time_borrower,24290.95,18,13984.88,4599.36,13798.08,266,0.8556,0.6973,1,0.4337,0.0,0.1343,0.0,0.1886,0.5333,0.1234,True,0,SYNTHETIC_SHOWCASE_ONLY
9000112,1996-11-26,informal_worker,102702.87,18,35468.62,12158.23,36474.68,26,0.7199,0.8933,1,0.5891,0.0,0.091,0.0,0.4235,0.6418,0.3109,True,0,SYNTHETIC_SHOWCASE_ONLY
9000113,1995-10-12,small_merchant,91388.58,18,23888.3,7627.23,22881.68,70,0.9557,0.6371,1,0.5989,101338.01,0.8677,4814.76,0.4293,0.8637,0.0,True,1,SYNTHETIC_SHOWCASE_ONLY
9000114,1995-04-18,informal_worker,60802.69,12,25848.11,6517.3,19551.89,201,0.4871,0.7197,1,0.7619,0.0,0.0886,0.0,0.3312,0.7122,0.5344,True,1,SYNTHETIC_SHOWCASE_ONLY
9000115,1995-07-13,gig_worker,75229.93,12,46310.62,12874.54,38623.63,30,0.7159,0.8767,0,0.8382,0.0,0.4181,0.0,0.1325,0.6475,0.0968,True,0,SYNTHETIC_SHOWCASE_ONLY
9000116,1995-11-05,small_merchant,37632.1,24,19823.65,7099.04,21297.12,125,0.9381,0.8341,2,0.8552,83167.42,0.89,6655.18,0.5333,0.6642,0.1468,True,0,SYNTHETIC_SHOWCASE_ONLY
9000117,1993-03-10,gig_worker,54550.09,6,53558.42,20480.82,61442.45,140,0.7478,0.9358,0,0.618,0.0,0.1747,0.0,0.0502,0.5854,0.2909,True,1,SYNTHETIC_SHOWCASE_ONLY
9000118,1993-09-13,first_time_borrower,39804.84,24,56011.26,13450.3,40350.89,65,0.6158,0.6331,1,0.8602,0.0,0.1241,0.0,0.2908,0.554,0.4293,True,0,SYNTHETIC_SHOWCASE_ONLY
9000119,1994-03-25,first_time_borrower,196183.16,12,40186.9,14496.65,43489.94,33,0.7238,0.8177,2,0.8525,0.0,0.2718,0.0,0.2344,0.5097,0.4598,True,1,SYNTHETIC_SHOWCASE_ONLY
9000120,1993-07-29,first_time_borrower,17911.12,12,17487.85,4906.78,14720.33,105,0.8576,0.9258,0,0.677,0.0,0.555,0.0,0.4705,0.5492,0.1292,True,0,SYNTHETIC_SHOWCASE_ONLY
9000121,1995-03-14,first_time_borrower,11269.66,24,9803.93,3482.8,10448.4,204,0.5675,0.668,0,0.654,0.0,0.4404,0.0,0.2373,0.4819,0.4976,True,1,SYNTHETIC_SHOWCASE_ONLY
